"Arsenal","Wigan","H","A","H"
"Wigan","Arsenal","H","A","A"
"Arsenal","Wigan","H","H","H"
"Wigan","Arsenal","H","D","A"
"Wigan","Arsenal","A","H","A"
"Wigan","Arsenal","H","A","A"
"Arsenal","Wigan","H","H","H"
"West Brom","Arsenal","A","A","A"
"Arsenal","West Brom","H","H","H"
"West Brom","Arsenal","A","D","A"
"West Brom","Arsenal","A","A","A"
"Arsenal","Newcastle","H","H","H"
"Newcastle","Arsenal","H","D","A"
"Arsenal","Newcastle","H","A","H"
"Newcastle","Arsenal","A","A","A"
"Birmingham","Arsenal","D","A","A"
"Arsenal","Birmingham","H","H","H"
"Birmingham","Arsenal","H","D","A"
"Arsenal","Birmingham","H","H","H"
"Bolton","Arsenal","H","D","A"
"Bolton","Arsenal","H","H","A"
"Arsenal","Bolton","H","H","H"
"Bolton","Arsenal","A","A","A"
"Arsenal","Bolton","H","H","H"
"Wolves","Arsenal","A","A","A"
"Arsenal","Wolves","H","D","H"
"Arsenal","Wolves","H","H","H"
"Wolves","Arsenal","H","A","A"
"Arsenal","Wolves","H","H","H"
"Wolves","Arsenal","H","A","A"
"West Ham","Arsenal","H","A","A"
"Arsenal","West Ham","H","H","H"
"Arsenal","West Ham","H","H","H"
"West Ham","Arsenal","A","D","A"
"Arsenal","West Ham","H","D","H"
"West Ham","Arsenal","H","A","A"
"Sunderland","Arsenal","H","A","A"
"Arsenal","Sunderland","H","H","H"
"Arsenal","Sunderland","H","D","H"
"Arsenal","Sunderland","H","H","H"
"Sunderland","Arsenal","D","H","A"
"Arsenal","Sunderland","H","D","H"
"Sunderland","Arsenal","A","D","A"
"Stoke","Arsenal","A","D","A"
"Arsenal","Stoke","H","H","H"
"Stoke","Arsenal","H","H","A"
"Arsenal","Stoke","H","H","H"
"Stoke","Arsenal","A","A","A"
"Arsenal","Stoke","H","H","H"
"Arsenal","Stoke","H","H","H"
"Stoke","Arsenal","H","H","A"
