"Arsenal","Man United","H","A","A"
"Arsenal","Man United","A","H","H"
"Man United","Arsenal","D","H","H"
"Arsenal","Man United","D","A","H"
"Arsenal","Man United","A","H","A"
"Man United","Chelsea","H","H","H"
"Chelsea","Man United","H","H","H"
"Man United","Chelsea","H","A","H"
"Chelsea","Man United","H","H","H"
"Man United","Chelsea","H","H","H"
"Man City","Man United","A","H","H"
"Man United","Man City","H","A","H"
"Man United","Man City","H","H","H"
"Man City","Man United","H","A","A"
"Man United","Man City","H","H","H"
"Man City","Man United","A","A","A"
"Tottenham","Man United","A","A","A"
"Man United","Tottenham","H","H","H"
"Man United","Tottenham","H","H","H"
"Man United","Tottenham","H","H","H"
"Man United","Liverpool","H","H","H"
"Liverpool","Man United","H","H","A"
"Man United","Liverpool","H","H","H"
"Liverpool","Man United","A","H","A"
"Man United","Liverpool","H","A","H"
"Everton","Man United","H","A","A"
"Man United","Everton","H","H","H"
"Everton","Man United","H","H","A"
"Man United","Everton","H","H","H"
"Man United","Everton","H","H","H"
"Man United","Aston Villa","H","H","H"
"Aston Villa","Man United","D","A","A"
"Man United","Aston Villa","H","H","H"
"Man United","Aston Villa","H","A","H"
"Man United","Aston Villa","H","H","H"
