Wigan,Man United,A,H,A
,,,,
Man United,Wigan,H,H,H
,,,,
Wigan,Man United,A,A,A
,,,,
Man United,Wigan,H,H,H
,,,,
Man United,Wigan,H,H,H
,,,,
Wigan,Man United,A,A,A
,,,,
Man United,Wigan,H,H,H
,,,,
Man United,West Brom,H,H,H
,,,,
West Brom,Man United,H,A,A
,,,,
Man United,West Brom,H,D,H
,,,,
West Brom,Man United,A,A,A
,,,,
Man United,West Brom,H,H,H
,,,,
Newcastle,Man United,A,H,A
,,,,
Man United,Newcastle,H,D,H
,,,,
Newcastle,Man United,A,D,A
,,,,
Newcastle,Man United,A,A,A
,,,,
Man United,Birmingham,H,H,H
,,,,
Birmingham,Man United,D,D,A
,,,,
Birmingham,Man United,H,D,A
,,,,
Man United,Bolton,H,H,H
,,,,
Man United,Bolton,H,H,H
,,,,
Bolton,Man United,A,A,A
,,,,
Man United,Bolton,H,H,H
,,,,
Bolton,Man United,H,A,A
,,,,
Wolves,Man United,A,A,A
,,,,
Man United,Wolves,H,H,H
,,,,
Wolves,Man United,A,H,A
,,,,
Man United,Wolves,H,H,H
,,,,
Wolves,Man United,A,A,A
,,,,
Man United,Wolves,H,H,H
,,,,
West Ham,Man United,D,A,A
,,,,
Man United,West Ham,H,H,H
,,,,
West Ham,Man United,A,A,A
,,,,
West Ham,Man United,A,A,A
,,,,
Man United,West Ham,H,H,H
,,,,
Sunderland,Man United,A,A,A
,,,,
Man United,Sunderland,H,H,H
,,,,
Man United,Sunderland,A,H,H
,,,,
Sunderland,Man United,H,D,A
,,,,
Sunderland,Man United,H,A,A
,,,,
Man United,Sunderland,H,D,H
,,,,
Sunderland,Man United,A,A,A
,,,,
Man United,Sunderland,H,H,H
,,,,
Man United,Stoke,H,H,H
,,,,
Man United,Stoke,H,H,H
,,,,
Stoke,Man United,A,A,A
,,,,
Man United,Stoke,H,H,H
,,,,
Stoke,Man United,A,A,A
,,,,
Stoke,Man United,D,A,A
,,,,
Man United,Stoke,H,H,H
"Man United","Portsmouth","H","H","H"
"Portsmouth","Man United","A","A","A"
"Man United","Portsmouth","H","H","H"
"Blackburn","Man United","A","A","A"
"Man United","Blackburn","H","A","H"
"Blackburn","Man United","A","D","A"
"Man United","Blackburn","H","H","H"
"Blackburn","Man United","A","D","A"
"Man United","Blackburn","H","H","H"
"Man United","Blackburn","H","H","H"
"Man United","Hull","H","H","H"
"Hull","Man United","A","A","A"
"Hull","Man United","A","A","A"
"Man United","Hull","H","H","H"
"Man United","Blackpool","H","H","H"
"Blackpool","Man United","H","A","A"
