"3AllWins","3Wins","3AllLosses","3Losses","3AllDraws","3Draws","3FTGoals","3HTGoals","3Shots","3ShotsOnTarget","3Corners","3Fouls","3Yellows","3Reds","PtsDiff","result","BetResult","Date","HomeTeam","AwayTeam"
"0.6666666666666666","0.6666666666666666","0.2777777777777778","0.3333333333333333","0.5555555555555556","0.5","0.5947242206235013","0.6190476190476191","0.552009818962872","0.6040955631399318","0.45280612244897955","0.3649550706033376","0.47535211267605637","0.2777777777777778","0.30020796197266786","A","A","2011-04-02","West Ham","Man United"
"0.3333333333333333","1.0","0.5","0.4444444444444444","0.5555555555555556","0.2777777777777778","0.5611510791366906","0.5952380952380952","0.42129487572875113","0.3625623523234445","0.6986607142857142","0.30449293966623875","0.5070422535211269","0.5555555555555556","0.7061051693404634","H","H","2010-02-23","Man United","West Ham"
"0.3333333333333333","0.6666666666666666","0.5","0.3333333333333333","0.5555555555555556","0.5","0.6067146282973622","0.6666666666666666","0.41648767515597834","0.4599632449461801","0.2602040816326531","0.469191270860077","0.4084507042253522","0.5","0.4621212121212121","A","A","2009-12-05","West Ham","Man United"
"0.2222222222222222","0.5","0.5","0.5","0.5555555555555556","0.5","0.47242206235011996","0.4603174603174603","0.4025774777539122","0.39485429246521403","0.47321428571428564","0.4803594351732991","0.5070422535211269","0.5","0.39119132501485443","A","A","2009-02-08","West Ham","Man United"
"0.7222222222222222","0.9444444444444443","0.0","0.2777777777777778","0.5555555555555556","0.5","0.645083932853717","0.5317460317460317","0.6906003886672805","0.8687319506432135","0.6527423469387754","0.30218228498074456","0.39084507042253525","0.4444444444444444","0.5249554367201426","H","H","2008-10-29","Man United","West Ham"
"0.5","1.0","0.5","0.2777777777777778","0.5","0.4444444444444444","0.5299760191846523","0.42857142857142855","0.45003579830213764","0.5150958256760305","0.4948979591836734","0.430038510911425","0.591549295774648","0.5","0.8351158645276292","H","H","2008-05-03","Man United","West Ham"
"0.05555555555555558","0.2777777777777778","0.5555555555555556","0.5","0.5555555555555556","0.7222222222222222","0.43405275779376506","0.3333333333333333","0.48695918993556303","0.4746652664741402","0.5905612244897959","0.39101412066752245","0.4612676056338029","0.5","0.4187462863933452","H","A","2007-12-29","West Ham","Man United"
"0.2222222222222222","0.5","0.5","0.4444444444444444","0.5555555555555556","0.5555555555555556","0.47242206235011996","0.30952380952380953","0.46404827656745423","0.5077448149120505","0.49968112244897955","0.2767650834403081","0.5528169014084507","0.5","1.0","A","H","2007-05-13","Man United","West Ham"
"0.0","0.2222222222222222","1.0","0.5555555555555556","0.5","0.5","0.37649880095923266","0.373015873015873","0.3697453206505063","0.4875295353111053","0.5529336734693877","0.24172015404364566","0.47535211267605637","0.5","0.3897058823529412","H","A","2006-12-17","West Ham","Man United"
"0.9444444444444443","0.7777777777777778","0.2777777777777778","0.4444444444444444","0.5","0.5","0.5875299760191847","0.6984126984126985","0.7567761071903446","0.6797059595694409","0.5102040816326531","0.17946084724005132","0.41197183098591555","0.5","0.6920677361853832","H","H","2006-03-29","Man United","West Ham"
"0.3333333333333333","0.5","0.5","0.4444444444444444","0.5555555555555556","0.5555555555555556","0.47961630695443647","0.46825396825396826","0.4275340083870308","0.48647939091625103","0.5494260204081632","0.2505776636713736","0.25352112676056343","0.5","0.5029708853238265","A","A","2005-11-27","West Ham","Man United"
